"Stability Rate by School
2024-25, Final Surveys 2 and 3",,,,,,
"Note: Distinct by District, School, Survey and FLEID.
The percent of students from the October membership who are still present in the February count membership.
*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
District  #,District Name,School #,School Name,Fall Student Enrollment (October 2024),"Count of Students Still Enrolled in Spring
(February 2025)",Stability Rate 
32,JACKSON,0153,CENTER FOR THE ADVANCEMENT OF CHILDREN'S LEARNING,40,36,90.0%
32,JACKSON,0154,JACKSON COUNTY TEEN PARENTING PROGRAM,*,*,*
32,JACKSON,0171,SNEADS ELEMENTARY SCHOOL,574,552,96.2%
32,JACKSON,0181,GRAND RIDGE SCHOOL,359,342,95.3%
32,JACKSON,0202,HOPE SCHOOL,103,100,97.1%
32,JACKSON,0212,JACKSON ALTERNATIVE SCHOOL,22,6,27.3%
32,JACKSON,0251,COTTONDALE HIGH SCHOOL,419,381,90.9%
32,JACKSON,0271,COTTONDALE ELEMENTARY SCHOOL,471,450,95.5%
32,JACKSON,0491,GRACEVILLE SCHOOL,400,382,95.5%
32,JACKSON,7001,JACKSON VIRTUAL INSTRUCTION PROGRAM,39,32,82.1%
33,JEFFERSON,0111,JEFFERSON SCHOOLS K-12,669,635,94.9%
33,JEFFERSON,6016,TURNING POINT,32,21,65.6%
34,LAFAYETTE,0021,LAFAYETTE HIGH SCHOOL,606,582,96.0%
34,LAFAYETTE,0022,LAFAYETTE ELEMENTARY SCHOOL,546,532,97.4%
35,LAKE,0031,BEVERLY SHORES ELEMENTARY SCHOOL,596,543,91.1%
35,LAKE,0035,LAKE SUCCESS ELEMENTARY SCHOOL,*,*,*
35,LAKE,0042,LINCOLN PARK EDUCATION CENTER,71,63,88.7%
35,LAKE,0061,EUSTIS ELEMENTARY SCHOOL,422,407,96.4%
35,LAKE,0067,SAWGRASS BAY ELEMENTARY SCHOOL,853,801,93.9%
35,LAKE,0068,GRASSY LAKE ELEMENTARY SCHOOL,"1,293","1,240",95.9%
35,LAKE,0069,SORRENTO ELEMENTARY,841,794,94.4%
35,LAKE,0071,EUSTIS HEIGHTS ELEMENTARY SCHOOL,684,643,94.0%
35,LAKE,0080,EAST RIDGE MIDDLE SCHOOL,"1,089","1,060",97.3%
35,LAKE,0081,EUSTIS HIGH SCHOOL,"1,274","1,203",94.4%
35,LAKE,0101,FRUITLAND PARK ELEMENTARY SCHOOL,688,649,94.3%
35,LAKE,0113,GRAY MIDDLE SCHOOL,985,944,95.8%
35,LAKE,0119,THE VILLAGES ELEMENTARY OF LADY LAKE SCHOOL,740,696,94.1%
35,LAKE,0141,SEMINOLE SPRINGS ELEMENTARY SCHOOL,469,441,94.0%
35,LAKE,0149,ROUND LAKE CHARTER SCHOOL,"1,240","1,224",98.7%
35,LAKE,0161,LEESBURG HIGH SCHOOL,"1,724","1,614",93.6%
35,LAKE,0181,MT. DORA HIGH SCHOOL,"1,500","1,426",95.1%
35,LAKE,0211,TAVARES HIGH SCHOOL,"1,458","1,395",95.7%
35,LAKE,0213,TAVARES MIDDLE SCHOOL,933,889,95.3%
35,LAKE,0231,UMATILLA HIGH SCHOOL,922,867,94.0%
35,LAKE,0241,TREADWAY ELEMENTARY SCHOOL,836,777,92.9%
35,LAKE,0251,OAK PARK MIDDLE SCHOOL,558,517,92.7%
35,LAKE,0261,MINNEOLA CHARTER SCHOOL,"1,763","1,726",97.9%
35,LAKE,0271,ASTATULA ELEMENTARY SCHOOL,632,585,92.6%
35,LAKE,0281,LOST LAKE ELEMENTARY SCHOOL,997,947,95.0%
35,LAKE,0291,LEESBURG ELEMENTARY SCHOOL,843,753,89.3%
35,LAKE,0351,CARVER MIDDLE SCHOOL,737,662,89.8%
35,LAKE,0382,GROVELAND ELEMENTARY SCHOOL,683,631,92.4%
35,LAKE,0411,MT. DORA MIDDLE SCHOOL,845,810,95.9%
35,LAKE,0421,RIMES EARLY LEARNING & LITERACY CENTER,242,227,93.8%
35,LAKE,0431,LAKE POINTE ACADEMY,985,938,95.2%
35,LAKE,0471,AURELIA M. COLE ACADEMY,"1,500","1,402",93.5%
35,LAKE,0481,WINDY HILL MIDDLE SCHOOL,"1,017",984,96.8%
35,LAKE,0521,TRIANGLE ELEMENTARY SCHOOL,695,615,88.5%
35,LAKE,0532,THE ACADEMY AT LAKE HILLS SCHOOL- SOUTH,32,26,81.3%
35,LAKE,0533,LAKE HILLS SCHOOL,204,189,92.6%
35,LAKE,0541,MASCOTTE CHARTER SCHOOL,937,887,94.7%
35,LAKE,0551,TAVARES ELEMENTARY SCHOOL,870,807,92.8%
35,LAKE,0561,UMATILLA ELEMENTARY SCHOOL,689,664,96.4%
35,LAKE,0571,UMATILLA MIDDLE SCHOOL,633,607,95.9%
35,LAKE,0591,PINE RIDGE ELEMENTARY SCHOOL,690,651,94.3%
35,LAKE,0597,CYPRESS RIDGE ELEMENTARY SCHOOL,567,556,98.1%
35,LAKE,0631,SPRING CREEK CHARTER SCHOOL,606,572,94.4%
35,LAKE,0697,EUSTIS MIDDLE SCHOOL,790,755,95.6%
35,LAKE,0701,SOUTH LAKE HIGH SCHOOL,"2,137","2,060",96.4%
35,LAKE,0801,EAST RIDGE HIGH SCHOOL,"2,683","2,566",95.6%
35,LAKE,0901,LAKE MINNEOLA HIGH SCHOOL,"2,309","2,212",95.8%
35,LAKE,7004,LAKE VIRTUAL FRANCHISE,247,224,90.7%
35,LAKE,7006,LAKE VIRTUAL INSTRUCTION COURSE OFFERINGS,10,9,90.0%
35,LAKE,9004,NONSCHOOL EXCEPTIONAL EDUCATION,18,17,94.4%
35,LAKE,9013,LAKE COUNTY ACER PROGRAM,*,*,*
35,LAKE,9014,NON SCHOOL PK,*,*,*
35,LAKE,9018,ALEE ACADEMY CHARTER SCHOOL,181,140,77.3%
35,LAKE,9027,PINECREST ACADEMY FOUR CORNERS,583,549,94.2%
35,LAKE,9028,ALTOONA SCHOOL,248,242,97.6%
35,LAKE,9031,IMAGINE SCHOOLS AT SOUTH LAKE,"1,064","1,060",99.6%
35,LAKE,9039,PINECREST ACADEMY TAVARES,972,928,95.5%
35,LAKE,9041,PINECREST LAKES ACADEMY,"1,096","1,079",98.4%
35,LAKE,9043,LAKE SUCCESS ACADEMY,26,13,50.0%
35,LAKE,9061,PINECREST LAKES MIDDLE/HIGH ACADEMY,262,253,96.6%
36,LEE,0081,ALLEN PARK ELEMENTARY SCHOOL,926,875,94.5%
36,LEE,0091,THE ALVA SCHOOL,"1,203","1,155",96.0%
36,LEE,0093,RIVER HALL ELEMENTARY SCHOOL,913,856,93.8%
36,LEE,0121,BONITA SPRINGS ELEMENTARY SCHOOL,502,482,96.0%
36,LEE,0131,CAPE ELEMENTARY SCHOOL,798,767,96.1%
36,LEE,0133,CHALLENGER MIDDLE SCHOOL,999,966,96.7%
36,LEE,0141,CYPRESS LAKE MIDDLE SCHOOL,768,739,96.2%
36,LEE,0152,YOUNG PARENT EDUCATION PROGRAM,48,39,81.3%
36,LEE,0161,PAUL LAURENCE DUNBAR MIDDLE SCHOOL,999,940,94.1%
36,LEE,0162,RAY V. POTTORF ELEMENTARY SCHOOL,736,701,95.2%
36,LEE,0181,EDGEWOOD ACADEMY,598,562,94.0%
36,LEE,0191,EDISON PARK CREATIVE AND EXPRESSIVE ARTS SCHOOL,440,425,96.6%
36,LEE,0201,FORT MYERS BEACH ELEMENTARY SCHOOL,62,55,88.7%
36,LEE,0211,FORT MYERS MIDDLE SCHOOL,687,613,89.2%
36,LEE,0221,FORT MYERS HIGH SCHOOL,"1,835","1,749",95.3%
36,LEE,0231,HARNS MARSH ELEMENTARY SCHOOL,"1,103","1,028",93.2%
36,LEE,0241,LEHIGH SENIOR HIGH SCHOOL,"2,550","2,383",93.5%
36,LEE,0242,VARSITY LAKES MIDDLE SCHOOL,"1,009",946,93.8%
36,LEE,0251,FRANKLIN PARK ELEMENTARY SCHOOL,505,472,93.5%
36,LEE,0261,J. COLIN ENGLISH ELEMENTARY SCHOOL,530,501,94.5%
36,LEE,0291,G. WEAVER HIPPS ELEMENTARY SCHOOL,960,897,93.4%
36,LEE,0301,LEHIGH ELEMENTARY SCHOOL,"1,207","1,143",94.7%
36,LEE,0311,NORTH FORT MYERS HIGH SCHOOL,"1,938","1,858",95.9%
36,LEE,0321,ORANGE RIVER ELEMENTARY SCHOOL,796,766,96.2%
36,LEE,0331,ORANGEWOOD ELEMENTARY SCHOOL,679,642,94.6%
36,LEE,0341,PINE ISLAND ELEMENTARY SCHOOL,227,218,96.0%
36,LEE,0351,LEXINGTON MIDDLE SCHOOL,"1,054",995,94.4%
36,LEE,0361,THE SANIBEL SCHOOL,225,208,92.4%
36,LEE,0371,MIRROR LAKES ELEMENTARY SCHOOL,"1,237","1,174",94.9%
36,LEE,0381,TICE ELEMENTARY SCHOOL,516,504,97.7%
36,LEE,0382,OAK HAMMOCK MIDDLE SCHOOL,"1,242","1,201",96.7%
36,LEE,0391,TROPIC ISLES ELEMENTARY SCHOOL,804,758,94.3%
36,LEE,0401,VILLAS ELEMENTARY SCHOOL,784,757,96.6%
36,LEE,0421,HEIGHTS ELEMENTARY SCHOOL,"1,057","1,005",95.1%
36,LEE,0431,PINEWOODS ELEMENTARY SCHOOL,"1,025","1,003",97.9%
36,LEE,0461,PATRIOT ELEMENTARY SCHOOL,954,921,96.5%
36,LEE,0471,TREELINE ELEMENTARY SCHOOL,"1,057","1,001",94.7%
36,LEE,0481,AMANECER ELEMENTARY SCHOOL,"1,072",994,92.7%
36,LEE,0491,ISLAND COAST HIGH SCHOOL,"1,477","1,349",91.3%
36,LEE,0511,SOUTH FORT MYERS HIGH SCHOOL,"1,693","1,537",90.8%
36,LEE,0521,BAYSHORE SCHOOL,685,665,97.1%
36,LEE,0531,CYPRESS LAKE HIGH SCHOOL,"1,429","1,331",93.1%
36,LEE,0547,LEE COUNTY ACCELERATION ACADEMIES,230,194,84.3%
36,LEE,0552,SUCCESS ACADEMY,84,14,16.7%
36,LEE,0561,TANGLEWOOD ELEMENTARY SCHOOL,687,663,96.5%
36,LEE,0571,CALOOSA ELEMENTARY SCHOOL,968,949,98.0%
36,LEE,0572,CALOOSA MIDDLE SCHOOL,"1,018",949,93.2%
36,LEE,0582,HARNS MARSH MIDDLE SCHOOL,905,859,94.9%
36,LEE,0591,RIVERDALE HIGH SCHOOL,"1,916","1,756",91.6%
36,LEE,0592,JAMES STEPHENS ELEMENTARY SCHOOL,730,677,92.7%
36,LEE,0597,TORTUGA PRESERVE ELEMENTARY SCHOOL,"1,172","1,128",96.2%
36,LEE,0601,NORTH FORT MYERS ACADEMY FOR THE ARTS,"1,353","1,285",95.0%
36,LEE,0611,BONITA SPRINGS MIDDLE CENTER FOR THE ARTS,706,680,96.3%
36,LEE,0621,CAPE CORAL HIGH SCHOOL,"2,008","1,910",95.1%
36,LEE,0631,SAN CARLOS PARK ELEMENTARY SCHOOL,642,612,95.3%
36,LEE,0641,PELICAN ELEMENTARY SCHOOL,963,911,94.6%
36,LEE,0651,ROYAL PALM EXCEPTIONAL SCHOOL CENTER,99,87,87.9%
36,LEE,0652,LEMUEL TEAL MIDDLE SCHOOL,"1,008",930,92.3%
36,LEE,0653,PACE SCHOOL FOR GIRLS,62,51,82.3%
36,LEE,0661,SOUTHWEST FLORIDA JUVENILE DETENTION CENTER,41,3,7.3%
36,LEE,0667,LEE COUNTY JAIL,*,*,*
36,LEE,0671,GULF MIDDLE SCHOOL,901,868,96.3%
36,LEE,0672,GULF ELEMENTARY SCHOOL,"1,193","1,163",97.5%
36,LEE,0681,SPRING CREEK ELEMENTARY SCHOOL,664,646,97.3%
36,LEE,0682,SW FL ADDICTION SERVICES-THE VINCE SMITH CENTER,*,*,*
36,LEE,0691,LEHIGH ACRES MIDDLE SCHOOL,"1,509","1,428",94.6%
36,LEE,0701,BUCKINGHAM EXCEPTIONAL STUDENT CENTER,60,53,88.3%
36,LEE,0711,SUNSHINE ELEMENTARY SCHOOL,"1,456","1,380",94.8%
36,LEE,0712,HECTOR A. CAFFERATA JR ELEMENTARY SCHOOL,606,574,94.7%
36,LEE,0721,MARINER HIGH SCHOOL,"1,865","1,692",90.7%
36,LEE,0722,MARINER MIDDLE SCHOOL,691,653,94.5%
36,LEE,0731,ESTERO HIGH SCHOOL,"1,571","1,497",95.3%
36,LEE,0734,RAYMA C. PAGE ELEMENTARY SCHOOL,697,659,94.5%
36,LEE,0741,THREE OAKS ELEMENTARY SCHOOL,941,913,97.0%
36,LEE,0745,EAST LEE COUNTY HIGH SCHOOL,"2,129","1,978",92.9%
36,LEE,0751,SKYLINE ELEMENTARY SCHOOL,"1,141","1,093",95.8%
36,LEE,0761,TRAFALGAR MIDDLE SCHOOL,962,926,96.3%
36,LEE,0762,TRAFALGAR ELEMENTARY SCHOOL,910,888,97.6%
36,LEE,0763,MANATEE ELEMENTARY SCHOOL,728,694,95.3%
36,LEE,0771,DIPLOMAT ELEMENTARY SCHOOL,"1,066","1,036",97.2%
36,LEE,0772,DIPLOMAT MIDDLE SCHOOL,"1,097","1,048",95.5%
36,LEE,0781,COLONIAL ELEMENTARY SCHOOL,661,588,89.0%
36,LEE,0791,DR CARRIE D ROBINSON LITTLETON ELEMENTARY SCHOOL,640,600,93.8%
36,LEE,0801,HANCOCK CREEK ELEMENTARY SCHOOL,814,767,94.2%
36,LEE,0811,GATEWAY ELEMENTARY SCHOOL,839,808,96.3%
36,LEE,0821,THREE OAKS MIDDLE SCHOOL,"1,091","1,064",97.5%
36,LEE,0831,DUNBAR HIGH SCHOOL,"1,734","1,575",90.8%
36,LEE,0841,BONITA SPRINGS HIGH SCHOOL,"1,490","1,441",96.7%
36,LEE,0842,GATEWAY HIGH SCHOOL,"2,343","2,185",93.3%
36,LEE,0851,VETERANS PARK ACADEMY FOR THE ARTS,"1,937","1,867",96.4%
36,LEE,0861,IDA S. BAKER HIGH SCHOOL,"2,191","2,079",94.9%
36,LEE,4100,THE ISLAND SCHOOL,64,63,98.4%
36,LEE,4102,BONITA SPRINGS CHARTER SCHOOL,"1,287","1,247",96.9%
36,LEE,4103,GATEWAY CHARTER SCHOOL,"3,192","2,977",93.3%
36,LEE,4111,MID CAPE GLOBAL ACADEMY,"1,145","1,090",95.2%
36,LEE,4141,INNOVATION PREPARATORY ACADEMY OF SOUTH FT. MYERS,770,726,94.3%
36,LEE,4143,OASIS CHARTER ELEMENTARY SCHOOL-SOUTH,875,866,99.0%
36,LEE,4151,OASIS ELEMENTARY CHARTER SCHOOL-NORTH,813,805,99.0%
36,LEE,4155,FLORIDA SOUTHWESTERN COLLEGIATE HIGH SCHOOL,411,397,96.6%
36,LEE,4171,OASIS CHARTER MIDDLE SCHOOL,846,836,98.8%
36,LEE,4181,OASIS CHARTER HIGH SCHOOL,896,879,98.1%
36,LEE,4212,CITY OF PALMS CHARTER HIGH SCHOOL,104,70,67.3%
36,LEE,4223,PALM ACRES CHARTER HIGH SCHOOL,274,207,75.5%
36,LEE,4231,HERITAGE CHARTER ACADEMY OF CAPE CORAL,234,214,91.5%
36,LEE,4242,NORTH NICHOLAS HIGH SCHOOL,353,258,73.1%
36,LEE,4251,CORONADO HIGH SCHOOL,294,214,72.8%
36,LEE,4274,ISLAND PARK HIGH SCHOOL,296,249,84.1%
36,LEE,4281,OAK CREEK CHARTER SCHOOL OF BONITA SPRINGS,685,661,96.5%
36,LEE,4302,DONNA J. BEASLEY TECHNICAL ACADEMY,294,229,77.9%
36,LEE,4303,NORTHERN PALMS CHARTER HIGH SCHOOL,92,71,77.2%
36,LEE,4304,HARLEM HEIGHTS COMMUNITY CHARTER SCHOOL,209,196,93.8%
36,LEE,4305,ATHENIAN ACADEMY CHARTER SCHOOL,437,417,95.4%
36,LEE,7004,LEE COUNTY VIRTUAL FRANCHISE,796,650,81.7%
36,LEE,9123,EARLY CHILDHOOD LEARNING SERVICES,187,168,89.8%
36,LEE,9450,COUNTY WIDE EXCEPTIONAL CHILD PROGRAMS,94,69,73.4%
37,LEON,0021,LEON HIGH SCHOOL,"1,793","1,701",94.9%
37,LEON,0031,KATE SULLIVAN ELEMENTARY SCHOOL,737,686,93.1%
37,LEON,0032,ELIZABETH COBB MIDDLE SCHOOL,675,639,94.7%
37,LEON,0041,FRANK HARTSFIELD ELEMENTARY SCHOOL,353,332,94.1%
37,LEON,0051,JAMES RICKARDS HIGH SCHOOL,"1,718","1,629",94.8%
37,LEON,0071,SABAL PALM ELEMENTARY SCHOOL,459,412,89.8%
37,LEON,0091,RUEDIGER ELEMENTARY SCHOOL,504,467,92.7%
37,LEON,0092,RAA MIDDLE SCHOOL,928,891,96.0%
37,LEON,0131,WOODVILLE SCHOOL,462,416,90.0%
37,LEON,0161,AMOS P. GODBY HIGH SCHOOL,"1,388","1,294",93.2%
37,LEON,0171,OAK RIDGE ELEMENTARY SCHOOL,432,393,91.0%
37,LEON,0191,SECOND CHANCE AT GHAZVINI LEARNING CENTER,51,23,45.1%
37,LEON,0204,SAIL,359,343,95.5%
37,LEON,0222,GRIFFIN MIDDLE SCHOOL,457,427,93.4%
37,LEON,0231,JOHN G RILEY ELEMENTARY SCHOOL,608,542,89.1%
37,LEON,0291,R. FRANK NIMS MIDDLE SCHOOL,625,572,91.5%
37,LEON,0311,PINEVIEW ELEMENTARY SCHOOL,457,426,93.2%
37,LEON,0381,GILCHRIST ELEMENTARY SCHOOL,857,827,96.5%
37,LEON,0401,ASTORIA PARK ELEMENTARY SCHOOL,479,442,92.3%
37,LEON,0411,GRETCHEN EVERHART SCHOOL,91,81,89.0%
37,LEON,0421,W T MOORE ELEMENTARY SCHOOL,519,502,96.7%
37,LEON,0431,SEALEY ELEMENTARY SCHOOL,369,353,95.7%
37,LEON,0441,APALACHEE ELEMENTARY SCHOOL,482,417,86.5%
37,LEON,0451,FAIRVIEW MIDDLE SCHOOL,735,700,95.2%
37,LEON,0481,KILLEARN LAKES ELEMENTARY SCHOOL,740,729,98.5%
37,LEON,0491,CHAIRES ELEMENTARY SCHOOL,466,451,96.8%
37,LEON,0501,SPRINGWOOD ELEMENTARY SCHOOL,460,428,93.0%
37,LEON,0511,DESOTO TRAIL ELEMENTARY SCHOOL,652,642,98.5%
37,LEON,0521,BUCK LAKE ELEMENTARY SCHOOL,696,687,98.7%
37,LEON,0531,DEERLAKE MIDDLE SCHOOL,876,850,97.0%
37,LEON,0561,FORT BRADEN SCHOOL,668,619,92.7%
37,LEON,1091,LINCOLN HIGH SCHOOL,"1,822","1,753",96.2%
37,LEON,1131,HAWKS RISE ELEMENTARY SCHOOL,752,738,98.1%
37,LEON,1141,LAWTON CHILES HIGH SCHOOL,"1,881","1,845",98.1%
37,LEON,1151,SWIFT CREEK MIDDLE SCHOOL,793,777,98.0%
37,LEON,1161,CANOPY OAKS ELEMENTARY SCHOOL,617,599,97.1%
37,LEON,1171,ROBERTS ELEMENTARY SCHOOL,807,799,99.0%
37,LEON,1181,BOND ELEMENTARY SCHOOL,611,568,93.0%
37,LEON,1201,WILLIAM J MONTFORD III MIDDLE SCHOOL,"1,016",989,97.3%
37,LEON,1202,J MICHAEL CONLEY ELEMENTARY SCHOOL AT SOUTHWOOD,693,655,94.5%
37,LEON,1211,GHAZVINI LEARNING CENTER,130,108,83.1%
37,LEON,1402,THE SCHOOL OF ARTS AND SCIENCES  ON THOMASVILLE,461,453,98.3%
37,LEON,1425,TALLAHASSEE SCHOOL OF MATH & SCIENCES,621,591,95.2%
37,LEON,1441,RENAISSANCE ACADEMY,243,214,88.1%
37,LEON,1444,THE SCHOOL OF ARTS & SCIENCES CENTRE,448,436,97.3%
37,LEON,1451,TALLAHASSEE CLASSICAL SCHOOL,345,318,92.2%
37,LEON,1502,LEON CO JUVENILE DETENTION CENTER,52,7,13.5%
37,LEON,1503,PACE CENTER FOR GIRLS,44,30,68.2%
37,LEON,7004,LEON COUNTY VIRTUAL SCHOOL FRANCHISE,88,77,87.5%
37,LEON,9003,LEON COUNTYWIDE ADULT EDUCATION PROG,66,57,86.4%
37,LEON,9004,HOSPITAL HOMEBOUND,*,*,*
37,LEON,9006,PREK,52,49,94.2%
38,LEVY,0021,BRONSON MIDDLE/HIGH SCHOOL,537,503,93.7%
38,LEVY,0041,CEDAR KEY HIGH SCHOOL,202,193,95.5%
38,LEVY,0051,CHIEFLAND MIDDLE HIGH SCHOOL,760,722,95.0%
38,LEVY,0060,WHISPERING WINDS CHARTER SCHOOL,132,128,97.0%
38,LEVY,0062,NATURE COAST MIDDLE SCHOOL,84,78,92.9%
38,LEVY,0091,WILLISTON MIDDLE HIGH SCHOOL,"1,121","1,064",94.9%
38,LEVY,0092,JOYCE M. BULLOCK ELEMENTARY SCHOOL,638,616,96.6%
38,LEVY,0111,YANKEETOWN SCHOOL,250,232,92.8%
38,LEVY,0231,WILLISTON ELEMENTARY SCHOOL,515,504,97.9%
38,LEVY,0241,CHIEFLAND ELEMENTARY SCHOOL,725,701,96.7%
38,LEVY,1011,BRONSON ELEMENTARY SCHOOL,586,563,96.1%
38,LEVY,7004,LEVY VIRTUAL FRANCHISE,*,*,*
38,LEVY,7006,LEVY VIRTUAL INSTRUCTION (COURSE OFFERINGS),10,10,100.0%
39,LIBERTY,0021,LIBERTY COUNTY HIGH SCHOOL,336,315,93.8%
39,LIBERTY,0031,W. R. TOLAR K-8 SCHOOL,513,492,95.9%
39,LIBERTY,0041,HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL,302,286,94.7%
39,LIBERTY,0053,APALACHICOLA FOREST YOUTH ACADEMY,23,4,17.4%
39,LIBERTY,0081,LIBERTY EARLY LEARNING CENTER,68,65,95.6%
39,LIBERTY,7004,LIBERTY VIRTUAL FRANCHISE,*,*,*
40,MADISON,0011,MADISON COUNTY HIGH SCHOOL,464,424,91.4%
40,MADISON,0041,MADISON COUNTY CENTRAL SCHOOL,828,778,94.0%
40,MADISON,0091,GREENVILLE ELEMENTARY SCHOOL,105,87,82.9%
40,MADISON,0101,LEE ELEMENTARY SCHOOL,163,150,92.0%
40,MADISON,0111,PINETTA ELEMENTARY SCHOOL,121,108,89.3%
40,MADISON,0121,JAMES MADISON PREPARATORY HIGH SCHOOL,180,171,95.0%
40,MADISON,0122,MADISON CREATIVE ARTS ACADEMY INC,397,387,97.5%
40,MADISON,7004,MADISON VIRTUAL FRANCHISE,*,*,*
41,MANATEE,0031,ANNA MARIA ELEMENTARY SCHOOL,190,177,93.2%
41,MANATEE,0051,BALLARD ELEMENTARY SCHOOL,421,401,95.2%
41,MANATEE,0061,BAYSHORE ELEMENTARY SCHOOL,711,663,93.2%
41,MANATEE,0072,BAYSHORE HIGH SCHOOL,"1,400","1,291",92.2%
41,MANATEE,0151,MANATEE ELEMENTARY SCHOOL,488,429,87.9%
41,MANATEE,0181,MANATEE HIGH SCHOOL,"1,998","1,896",94.9%
41,MANATEE,0221,JESSIE P. MILLER ELEMENTARY SCHOOL,586,561,95.7%
41,MANATEE,0231,MYAKKA CITY ELEMENTARY SCHOOL,319,295,92.5%
41,MANATEE,0261,ONECO ELEMENTARY SCHOOL,576,519,90.1%
41,MANATEE,0271,G D ROGERS GARDEN- BULLOCK ELEMENTARY,472,438,92.8%
41,MANATEE,0281,PALM VIEW K-8 SCHOOL,606,578,95.4%
41,MANATEE,0291,PALMA SOLA ELEMENTARY SCHOOL,396,384,97.0%
41,MANATEE,0301,PALMETTO ELEMENTARY SCHOOL,519,495,95.4%
41,MANATEE,0351,PALMETTO HIGH SCHOOL,"2,185","2,070",94.7%
41,MANATEE,0381,ROBERT H. PRINE ELEMENTARY SCHOOL,721,689,95.6%
41,MANATEE,0411,BLANCHE H. DAUGHTREY ELEMENTARY,719,673,93.6%
41,MANATEE,0421,SAMOSET ELEMENTARY SCHOOL,544,514,94.5%
41,MANATEE,0431,SOUTHEAST HIGH SCHOOL,"1,638","1,516",92.6%
41,MANATEE,0521,JAMES TILLMAN ELEMENTARY MAGNET SCHOOL,614,573,93.3%
41,MANATEE,0541,BLACKBURN ELEMENTARY SCHOOL,452,432,95.6%
41,MANATEE,0581,W. D. SUGG MIDDLE SCHOOL,"1,017",908,89.3%
41,MANATEE,0601,H. S. MOODY ELEMENTARY SCHOOL,602,574,95.3%
41,MANATEE,0611,MARTHA B. KING MIDDLE SCHOOL,897,828,92.3%
41,MANATEE,0621,FLORINE J ABEL ELEMENTARY SCHOOL,485,462,95.3%
41,MANATEE,0631,IDA M. STEWART ELEMENTARY SCHOOL,381,379,99.5%
41,MANATEE,0641,WILLIAM H. BASHAW ELEMENTARY,720,675,93.8%
41,MANATEE,0651,BRADEN RIVER ELEMENTARY SCHOOL,547,528,96.5%
41,MANATEE,0652,BRADEN RIVER MIDDLE SCHOOL,797,757,95.0%
41,MANATEE,0671,SEA BREEZE ELEMENTARY SCHOOL,502,468,93.2%
41,MANATEE,0681,TARA ELEMENTARY SCHOOL,582,562,96.6%
41,MANATEE,0691,LOUISE R JOHNSON K-8 SCHOOL OF INTERNATIONAL STUDIES,844,832,98.6%
41,MANATEE,0701,GENE WITT ELEMENTARY SCHOOL,742,726,97.8%
41,MANATEE,0711,CARLOS E. HAILE MIDDLE SCHOOL,715,684,95.7%
41,MANATEE,0721,LAKEWOOD RANCH HIGH SCHOOL,"2,422","2,319",95.7%
41,MANATEE,0731,HORIZONS ACADEMY,429,198,46.2%
41,MANATEE,0741,MARJORIE G. KINNAN ELEMENTARY SCHOOL,522,479,91.8%
41,MANATEE,0752,R. DAN NOLAN MIDDLE SCHOOL,787,771,98.0%
41,MANATEE,0761,ELECTA LEE MAGNET MIDDLE SCHOOL,679,637,93.8%
41,MANATEE,0762,BRADEN RIVER HIGH SCHOOL,"1,705","1,609",94.4%
41,MANATEE,0771,GILBERT W MCNEAL ELEMENTARY SCHOOL,672,660,98.2%
41,MANATEE,0781,FREEDOM ELEMENTARY SCHOOL,736,700,95.1%
41,MANATEE,0791,VIRGIL MILLS ELEMENTARY SCHOOL,863,834,96.6%
41,MANATEE,0801,ROBERT WILLIS ELEMENTARY SCHOOL,785,759,96.7%
41,MANATEE,0811,ANNIE LUCY WILLIAMS ELEMENTARY SCHOOL,981,948,96.6%
41,MANATEE,0821,B.D. GULLETT ELEMENTARY SCHOOL,"1,314","1,291",98.2%
41,MANATEE,0842,BUFFALO CREEK MIDDLE SCHOOL,"1,171","1,127",96.2%
41,MANATEE,0852,PARRISH COMMUNITY HIGH SCHOOL,"2,266","2,166",95.6%
41,MANATEE,0853,DR MONA JAIN MIDDLE SCHOOL,933,888,95.2%
41,MANATEE,0857,BARBARA A HARVEY ELEMENTARY SCHOOL,"1,356","1,331",98.2%
41,MANATEE,0861,LINCOLN MEMORIAL MIDDLE SCHOOL,448,411,91.7%
41,MANATEE,2003,EASTER SEALS,12,11,91.7%
41,MANATEE,2004,PACE CENTER FOR GIRLS,56,41,73.2%
41,MANATEE,2007,JUST FOR GIRLS MIDDLE SCHOOL,33,30,90.9%
41,MANATEE,2011,ACCESS TO EDUCATION,44,44,100.0%
41,MANATEE,2019,JUST FOR GIRLS ELEMENTARY SCHOOL,42,39,92.9%
41,MANATEE,2051,JUVENILE DETENTION CENTER,77,6,7.8%
41,MANATEE,2056,PALMSHORES BEHAVIOR HEALTH CENTER,88,28,31.8%
41,MANATEE,2066,MANATEE COMMUNITY ACTION AGENCY-HEAD START,16,16,100.0%
41,MANATEE,2068,THE PORT ACADEMY,21,17,81.0%
41,MANATEE,2081,AMIKIDS MANATEE,38,31,81.6%
41,MANATEE,2083,"SCH OFACADEMIC & BEHAVIORAL LEARNING EXC (SABLE), GRADE CODE1-8",15,13,86.7%
41,MANATEE,2086,SELBY PRESCHOOL,*,*,*
