"Stability Rate by School
2024-25, Final Surveys 2 and 3",,,,,,
"Note: Distinct by District, School, Survey and FLEID.
The percent of students from the October membership who are still present in the February count membership.
*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
District  #,District Name,School #,School Name,Fall Student Enrollment (October 2024),"Count of Students Still Enrolled in Spring
(February 2025)",Stability Rate 
08,CHARLOTTE,0131,PORT CHARLOTTE MIDDLE SCHOOL,858,796,92.8%
08,CHARLOTTE,0141,MEADOW PARK ELEMENTARY SCHOOL,708,679,95.9%
08,CHARLOTTE,0151,PORT CHARLOTTE HIGH SCHOOL,"1,730","1,619",93.6%
08,CHARLOTTE,0161,CHARLOTTE TECHNICAL COLLEGE,12,11,91.7%
08,CHARLOTTE,0171,THE ACADEMY,298,193,64.8%
08,CHARLOTTE,0181,L. A. AINGER MIDDLE SCHOOL,625,602,96.3%
08,CHARLOTTE,0191,VINELAND ELEMENTARY SCHOOL,494,481,97.4%
08,CHARLOTTE,0201,LIBERTY ELEMENTARY SCHOOL,764,721,94.4%
08,CHARLOTTE,0211,MURDOCK MIDDLE SCHOOL,656,614,93.6%
08,CHARLOTTE,0231,MYAKKA RIVER ELEMENTARY SCHOOL,624,603,96.6%
08,CHARLOTTE,0251,DEEP CREEK ELEMENTARY SCHOOL,781,751,96.2%
08,CHARLOTTE,0301,KINGSWAY ELEMENTARY SCHOOL,579,563,97.2%
08,CHARLOTTE,0502,FLORIDA SOUTHWESTERN COLLEGIATE HIGH SCHOOL,356,337,94.7%
08,CHARLOTTE,0503,BABCOCK NEIGHBORHOOD SCHOOL,"1,053","1,000",95.0%
08,CHARLOTTE,7004,CHARLOTTE VIRTUAL FRANCHISE,83,73,88.0%
09,CITRUS,0021,PLEASANT GROVE ELEMENTARY SCHOOL,637,607,95.3%
09,CITRUS,0025,FOREST RIDGE ELEMENTARY SCHOOL,665,619,93.1%
